Opportunity Name,Stage,Amount,Description,Expected Revenue,Forecast Category,Lead Source,Probability,Type,Close Date
Project Phoenix,Proposal/Price Quote,30000,Upgrade of existing software system,35000,Pipeline,Partner Referral,60,Existing Customer - Upgrade,2024-04-25
New Market Entry,Needs Analysis,50000,Research and development for new product line,80000,Best Case,Web,70,New Customer,2024-04-26
Service Renewal,Closed Won,15000,Renewal of annual service contract,15000,Commit,Phone Inquiry,100,Existing Customer - Upgrade,2024-04-27
Product Refresh,Perception Analysis,40000,Evaluation of customer feedback for updates,60000,Pipeline,Partner Referral,50,Existing Customer - Replacement,2024-04-28
Project X,Negotiation/Review,70000,Final negotiation phase for large project,90000,Best Case,Purchased List,75,New Customer,2024-04-29
Service Expansion,Value Proposition,25000,Proposal for expanding service offerings,35000,Pipeline,Partner Referral,65,Existing Customer - Upgrade,2024-04-30
New Product Launch,Qualification,60000,Launch event planning and marketing,100000,Best Case,Web,80,New Customer,2024-05-01
Project Z,Proposal/Price Quote,45000,Custom software development project,60000,Best Case,Partner Referral,70,New Customer,2024-05-02
Solution Upgrade,Negotiation/Review,55000,Negotiation for upgrade of software solution,70000,Best Case,Partner Referral,75,Existing Customer - Upgrade,2024-05-03
Expansion Strategy,Proposal/Price Quote,35000,Proposal for market expansion strategy,50000,Pipeline,Web,60,New Customer,2024-05-04
Client Onboarding,Closed Won,20000,Onboarding services for new client,20000,Commit,Phone Inquiry,100,Existing Customer - Upgrade,2024-05-05
Project Alpha,Proposal/Price Quote,65000,Proposal for custom software development,80000,Pipeline,Partner Referral,60,New Customer,2024-05-06
Service Enhancement,Value Proposition,30000,Proposal for enhancing existing service,40000,Pipeline,Partner Referral,65,Existing Customer - Upgrade,2024-05-07
Market Research,Needs Analysis,40000,Market research study for new product line,70000,Best Case,Web,75,New Customer,2024-05-08
Project Beta,Negotiation/Review,55000,Negotiation phase for project implementation,70000,Best Case,Partner Referral,70,Existing Customer - Upgrade,2024-05-09
Product Launch,Proposal/Price Quote,50000,Launch event planning and marketing,80000,Pipeline,Web,70,New Customer,2024-05-10
Service Upgrade,Negotiation/Review,40000,Negotiation for upgrade of service offering,50000,Pipeline,Partner Referral,60,Existing Customer - Upgrade,2024-05-11
Project Gamma,Negotiation/Review,70000,Final negotiation phase for large project,90000,Best Case,Partner Referral,75,New Customer,2024-05-12
Client Expansion,Proposal/Price Quote,35000,Proposal for expanding client base,50000,Pipeline,Web,65,New Customer,2024-05-13
Project Delta,Negotiation/Review,60000,Negotiation phase for project implementation,80000,Best Case,Partner Referral,70,Existing Customer - Upgrade,2024-05-14
